id_od;Id_do;km;czas
11827;11826;98,3502;1,64
11829;11826;115,9725;1,93
11830;11826;81,8416;1,36
11831;11826;74,7959;1,25
11832;11826;75,4074;1,26
11833;11826;130,6304;2,18
11834;11826;134,4897;2,24
11835;11826;138,5436;2,31
11836;11826;138,785;2,31
11837;11826;139,123;2,32
11838;11826;112,7265;1,88
11841;11826;159,5938;2,66
11842;11826;158,9951;2,65
11844;11826;110,645;1,84
11845;11826;167,7532;2,8
11853;11826;175,0484;2,92
11883;11826;148,389;2,47
11976;11826;157,9298;2,63
11826;11827;49,9186;0,83
11829;11827;22,1381;0,55
11830;11827;17,3342;0,43
11831;11827;23,0683;0,58
11832;11827;22,9943;0,57
11833;11827;72,1855;1,2
11834;11827;52,3616;0,87
11835;11827;60,5854;1,01
11836;11827;56,6553;0,94
11837;11827;56,9692;0,95
11838;11827;58,9406;0,98
11841;11827;101,1489;1,69
11842;11827;100,5502;1,68
11853;11827;95,1927;1,59
11976;11827;118,4944;1,97
11826;11829;67,5393;1,13
11827;11829;22,1365;0,55
11830;11829;34,955;0,58
11831;11829;40,689;0,68
11832;11829;40,615;0,68
11833;11829;78,3927;1,31
11834;11829;58,5689;0,98
11835;11829;66,7926;1,11
11836;11829;62,8626;1,05
11837;11829;63,2005;1,05
11838;11829;73,9719;1,23
11841;11829;107,3561;1,79
11842;11829;106,7574;1,78
11853;11829;101,3999;1,69
11976;11829;136,1151;2,27
11826;11830;33,41;0,56
11827;11830;17,3165;0,43
11829;11830;34,9389;0,58
11831;11830;5,7341;0,14
11832;11830;5,6601;0,14
11833;11830;76,5822;1,28
11834;11830;80,4414;1,34
11835;11830;84,4954;1,41
11836;11830;84,7368;1,41
11837;11830;85,0747;1,42
11838;11830;41,6064;0,69
11841;11830;69,9775;1,17
11845;11830;113,7018;1,9
11853;11830;121,0001;2,02
11976;11830;101,9857;1,7
11826;11831;26,139;0,44
11827;11831;22,2942;0,56
11829;11831;39,9166;0,67
11830;11831;4,9777;0,12
11832;11831;1,4243;0,04
11833;11831;67,3398;1,12
11834;11831;71,199;1,19
11835;11831;75,2529;1,25
11836;11831;75,4943;1,26
11837;11831;75,8323;1,26
11838;11831;38,4134;0,64
11841;11831;96,2887;1,6
11842;11831;95,69;1,59
11845;11831;104,4625;1,74
11853;11831;111,7577;1,86
11883;11831;175,5183;2,93
11976;11831;92,7433;1,55
11826;11832;27,3492;0,46
11827;11832;22,1542;0,55
11829;11832;39,7765;0,66
11830;11832;4,8377;0,12
11831;11832;1,2601;0,03
11833;11832;61,7039;1,03
11834;11832;65,5631;1,09
11835;11832;69,617;1,16
11836;11832;69,8584;1,16
11837;11832;70,1964;1,17
11838;11832;36,9892;0,62
11841;11832;65,7594;1,1
11842;11832;65,1607;1,09
11844;11832;68,064;1,13
11845;11832;98,8266;1,65
11853;11832;106,1217;1,77
11883;11832;105,808;1,76
11976;11832;93,9551;1,57
11826;11833;81,4795;1,36
11827;11833;72,1598;1,2
11829;11833;78,3686;1,31
11830;11833;66,1923;1,1
11831;11833;62,6147;1,04
11832;11833;62,5407;1,04
11834;11833;15,0908;0,38
11835;11833;12,8377;0,32
11836;11833;12,6993;0,32
11837;11833;13,0373;0,33
11838;11833;22,2218;0,56
11841;11833;34,7264;0,58
11842;11833;34,1277;0,57
11844;11833;47,4354;0,79
11845;11833;37,1227;0,62
11853;11833;71,2231;1,19
11883;11833;134,9821;2,25
11976;11833;72,0004;1,2
11826;11834;85,1954;1,42
11827;11834;52,4517;0,87
11829;11834;58,6606;0,98
11830;11834;69,9083;1,17
11831;11834;66,3307;1,11
11832;11834;66,2567;1,1
11833;11834;16,7002;0,42
11835;11834;9,8588;0,25
11836;11834;5,9288;0,15
11837;11834;6,2668;0,16
11838;11834;17,0381;0,43
11841;11834;45,3899;0,76
11842;11834;44,7912;0,75
11844;11834;64,1356;1,07
11845;11834;49,9975;0,83
11853;11834;54,7981;0,91
11883;11834;118,5571;1,98
11976;11834;82,6639;1,38
11826;11835;89,7563;1,5
11827;11835;61,184;1,02
11829;11835;67,3929;1,12
11830;11835;74,4692;1,24
11831;11835;70,8916;1,18
11832;11835;70,8176;1,18
11833;11835;14,0158;0,35
11834;11835;9,0188;0,23
11836;11835;5,2947;0,13
11837;11835;5,6327;0,14
11838;11835;19,4682;0,49
11841;11835;42,6637;0,71
11842;11835;42,065;0,7
11844;11835;51,8482;0,86
11845;11835;40,2738;0,67
11853;11835;63,5304;1,06
11883;11835;93,3033;1,56
11976;11835;79,9796;1,33
11826;11836;89,2124;1,49
11827;11836;56,4687;0,94
11829;11836;62,6775;1,04
11830;11836;73,9252;1,23
