ID;Popyt1;Popyt2;Popyt3;Service_time1;Service_time2;Service_time3;MAX_L_ODW;Mozna1;Mozna2;Mozna3;Musi1;Musi2;Musi3;Musi1_2;Musi2_3;Max_godz1;Max_godz2;Max_godz3;Szer.geogr;Dl.geogr.
11981;-39000;-39000;-39000;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;54.35228;18.720138
11826;7300;11800;4800;1,04;1,37;0,85;1;1;1;1;0;1;0;0;0;0;0;0;52.46589;19.19311
11827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.80804;19.13307
11829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.87741;19.33338
11830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.68322;19.09966
11831;1500;2900;4300;0,61;0,71;0,82;0;0;0;0;0;0;0;0;0;0;0;0;52.65451;19.06021
11832;12800;14400;15500;1,44;1,56;1,64;1;1;1;1;0;0;0;1;0;0;0;0;52.66257;19.05555
11833;2200;900;1500;0,66;0,57;0,61;1;1;0;0;1;0;0;0;0;0;0;0;52.99681;18.46548
11834;300;3100;5500;0,52;0,73;0,91;1;0;0;1;0;0;1;0;0;0;0;0;53.02479;18.66424
11835;5800;2500;4500;0,93;0,68;0,83;1;1;1;1;1;0;0;0;0;0;0;0;53.01310;18.56142
11836;5000;5300;2100;0,87;0,89;0,65;2;1;1;1;1;1;0;0;0;0;0;0;53.02866;18.61156
11837;7900;10200;12300;1,08;1,25;1,41;1;1;1;1;0;0;0;0;1;0;0;0;53.03219;18.61026
11838;12100;3100;6400;1,39;0,73;0,97;1;1;1;1;1;0;0;0;0;0;0;0;52.90145;18.72139
11841;9000;9900;11000;1,16;1,23;1,31;1;1;1;1;0;0;0;0;0;0;0;0;52.78759;18.26166
11842;11300;12900;14200;1,33;1,45;1,55;1;1;1;1;0;0;0;0;1;0;0;0;52.78055;18.25934
11844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.95566;17.71601
11845;7200;8100;8800;1,03;1,1;1,15;1;1;1;1;0;0;0;0;0;0;0;0;53.12007;18.05105
11853;3600;4800;5800;0,77;0,85;0,93;0;0;0;0;0;0;0;0;0;0;0;0;53.43711;18.72439
11883;3700;4300;4900;0,77;0,82;0,86;0;0;0;0;0;0;0;0;0;0;0;0;53.57297;17.88701
11976;5600;6100;6500;0,91;0,95;0,98;1;0;1;1;0;0;0;0;0;0;0;0;52.66260;17.92482
12031;4700;5400;6000;0,85;0,9;0,94;0;0;0;0;0;0;0;0;0;0;0;0;53.471169;18.74472
12053;2800;5000;7400;0,71;0,87;1,05;1;0;1;1;0;0;0;0;1;0;0;0;52.903454;19.122084
12068;300;1400;2400;0,52;0,6;0,68;0;0;0;0;0;0;0;0;0;0;0;0;53.38192;18.948111
12070;3000;5200;7200;0,72;0,88;1,03;1;0;1;1;0;0;0;0;1;0;0;0;52.975788;18.873514
12076;5400;8500;1900;0,9;1,13;0,64;1;0;1;1;0;1;0;0;0;0;0;0;53.11134;17.971291
12086;5400;2500;1500;0,9;0,68;0,61;0;0;0;0;0;0;0;0;0;0;0;0;53.01738;18.036285
12109;9000;10900;12700;1,16;1,3;1,44;1;1;1;1;0;0;0;0;0;0;0;0;53.082806;19.413908
12113;12100;12900;13700;1,39;1,45;1,51;1;1;1;1;0;0;0;0;1;0;0;0;52.788734;18.259106
12117;6600;7200;7800;0,99;1,03;1,08;1;1;1;1;0;0;0;0;0;0;0;0;53.12038;18.04471
12120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.038532;18.612453
12123;4800;2300;1800;0,85;0,67;0,63;0;0;0;0;0;0;0;0;0;0;0;0;53.40675;18.43429
12131;5700;8000;8100;0,92;1,09;1,1;1;0;1;1;0;0;0;0;0;0;0;0;53.341633;18.707829
12132;7400;10300;13300;1,05;1,26;1,48;1;1;1;1;0;0;0;0;1;0;0;0;53.345604;18.710318
12252;5100;6100;7000;0,88;0,95;1,02;1;0;1;1;0;0;0;0;0;0;0;0;53.03654;18.67530
12267;6700;7700;8100;0,99;1,07;1,1;1;1;1;1;0;0;0;0;0;0;0;0;52.99184;18.63650
12300;9400;10600;11500;1,19;1,28;1,35;1;1;1;1;0;0;0;0;0;0;0;0;53.13527;18.12230
12642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.728028;19.109361 
12643;2200;2700;3200;0,66;0,7;0,74;0;0;0;0;0;0;0;0;0;0;0;0;52.619172;19.028763 
12644;6300;6300;6300;0,96;0,96;0,96;1;1;1;1;0;0;0;0;0;0;0;0;52.673839;19.029095 
12645;6300;1100;1900;0,96;0,58;0,64;1;1;1;1;1;0;0;0;0;0;0;0;52.645706;19.126385
12646;2100;2600;3000;0,65;0,69;0,72;0;0;0;0;0;0;0;0;0;0;0;0;52.699558;18.801398 
12647;2400;3000;3800;0,68;0,72;0,78;0;0;0;0;0;0;0;0;0;0;0;0;52.611724;18.717984 
12648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.650162;19.091023 
13014;200;2300;4300;0,51;0,67;0,82;0;0;0;0;0;0;0;0;0;0;0;0;52.550412;18.844118
13015;0;1400;2900;0,5;0,6;0,71;0;0;0;0;0;0;0;0;0;0;0;0;52.616974;18.940124
13016;3600;4600;5500;0,77;0,84;0,91;0;0;0;0;0;0;0;0;0;0;0;0;52.553757;18.496012
13050;800;2300;3600;0,56;0,67;0,77;0;0;0;0;0;0;0;0;0;0;0;0;53.2086210;19.1715323
13051;3200;3600;3900;0,74;0,77;0,79;0;0;0;0;0;0;0;0;0;0;0;0;53.3258390;18.4982381
13245;3800;6100;8200;0,78;0,95;1,1;1;1;1;1;0;0;0;1;0;0;0;0;53.125439;17.989144
13246;800;1400;1800;0,56;0,6;0,63;0;0;0;0;0;0;0;0;0;0;0;0;53.121267;18.058173
13247;4400;6100;7500;0,82;0,95;1,05;1;1;1;1;0;0;0;1;0;0;0;0;53.107567;18.036863
